status	severity	file	line	text
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/MySQLManager.java	155	"sender.sendMessage(ChatColor.GREEN + ""[TreasureRun] MySQL is connected."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/MySQLManager.java	157	"sender.sendMessage(ChatColor.RED + ""[TreasureRun] MySQL is not connected."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/RankDebugCommand.java	49	"sender.sendMessage(""Only players can run this command."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	32	"sender.sendMessage(ChatColor.RED + ""❌ messages.translation was not found in config.yml."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	40	"sender.sendMessage(ChatColor.RED + ""❌ Could not create the languages/ folder: "" + dir.getAbsolutePath());"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	56	"sender.sendMessage(ChatColor.RED + ""❌ No languages are configured for export."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	93	"sender.sendMessage(ChatColor.RED + ""❌ Export failed: "" + lang + "" ("" + t.getMessage() + "")"");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	97	"sender.sendMessage(ChatColor.GREEN + ""✅ Export complete: wrote "" + written + "" file(s)."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	98	"sender.sendMessage(ChatColor.GRAY + ""Output folder: "" + dir.getAbsolutePath());"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	101	"sender.sendMessage(ChatColor.YELLOW + ""⚠ Skipped existing file(s): "" + String.join("", "", skipped));"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	102	"sender.sendMessage(ChatColor.GRAY + ""To overwrite existing files, run: /treasureExportLang overwrite"");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureExportLangCommand.java	105	"sender.sendMessage(ChatColor.AQUA + ""Next: make I18n read languages/*.yml to apply these translations."");"
CHECK_DIRECT_LITERAL	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureRunMultiChestPlugin.java	1143	"if (player == null) { sender.sendMessage(""Only players can run this command, and no online player was found.""); return true; }"
CHECK_DIRECT_LITERAL	P1_WORLD_TITLE_BOSSBAR	src/main/java/plugin/RankRewardManager.java	369	"wo.setCustomName(ChatColor.LIGHT_PURPLE + """" + ChatColor.BOLD + ""Rainbow Wolf"");"
OK_ALLOWED_BRAND_OR_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/TreasureRunMultiChestPlugin.java	1748	player.sendMessage(ChatColor.WHITE + trimmed); // ✅ ここだけ変更（WHITE → GRAY）
OK_ALLOWED_BRAND_OR_DYNAMIC	P0_GUI_ITEM_BOOK	src/main/java/plugin/LanguageSelectGui.java	107	"meta.setDisplayName(ChatColor.AQUA + ""["" + label + ""] "" + langName"
OK_ALLOWED_BRAND_OR_DYNAMIC	P1_WORLD_TITLE_BOSSBAR	src/main/java/plugin/quote/QuoteFavoritesBookBuilder.java	73	"meta.setTitle(""TreasureRun"");"
OK_ALLOWED_BRAND_OR_DYNAMIC	P2	src/main/java/plugin/quote/QuoteFavoritesBookBuilder.java	75	"meta.setPages(List.of(""TreasureRun""));"
